m_sdw,V,E_p_bits,E_p,coh_1rdm,Q_2_bits,single_site_entanglement,m_cdw,coh_2rdm,Q_2,U,energy
NaN,-1.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,-1.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,-0.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,-0.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,-0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,-0.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,0.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,0.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,0.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,1.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,1.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,1.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,2.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,2.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,2.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,2.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,3.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,3.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,3.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,NaN
NaN,-4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,-3.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,-3.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,-3.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,-2.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,-2.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,-2.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,-2.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,-1.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,-1.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,-1.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,-0.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,-0.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,-0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,-0.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,0.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,0.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,0.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,1.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,1.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,1.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,2.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,2.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,2.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,2.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,3.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,3.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,3.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
NaN,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN
